"Date of Error",Adjustment - Dad,Adjustment - Luke,Adjustment - Jake
2022-08-23,6,0,0,when luke won with 55 points my(dad) total was incorrectly added resuling in my losing 6 points.
2022-09-06,0,0,50,"when luke won with 46 points, jakes total was incorrectly rewrote as 1129 instead of 1179"
